Cohort Year,Year,School,Conference,Sport,State,GSR,FGR
2012,2018-2019,Old Dominion University,Conference USA,Football,VA,63,48
2012,2018-2019,Oregon State University,Pac-12 Conference,Football,OR,70,58
2012,2018-2019,University of Oregon,Pac-12 Conference,Football,OR,77,62
2012,2018-2019,Pennsylvania State University,Big Ten Conference,Football,PA,86,70
2012,2018-2019,University of Pennsylvania,The Ivy League,Football,PA,94,90
2012,2018-2019,University of Pittsburgh,Atlantic Coast Conference,Football,PA,78,47
2012,2018-2019,Portland State University,Big Sky Conference,Football,OR,71,63
2012,2018-2019,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,60,52
2012,2018-2019,Princeton University,The Ivy League,Football,NJ,97,100
2012,2018-2019,Purdue University,Big Ten Conference,Football,IN,80,64
2012,2018-2019,University of Rhode Island,Colonial Athletic Association,Football,RI,73,53
2012,2018-2019,Rice University,Conference USA,Football,TX,87,80
2012,2018-2019,University of Richmond,Colonial Athletic Association,Football,VA,84,78
2012,2018-2019,Robert Morris University,Northeast Conference,Football,PA,67,43
2012,2018-2019,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,Football,NJ,76,55
2012,2018-2019,Sacred Heart University,Northeast Conference,Football,CT,77,59
2012,2018-2019,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,74,55
2012,2018-2019,Sam Houston State University,Southland Conference,Football,TX,59,52
2012,2018-2019,Samford University,Southern Conference,Football,AL,95,83
2012,2018-2019,San Diego State University,Mountain West Conference,Football,CA,78,74
2012,2018-2019,University of San Diego,Pioneer Football League,Football,CA,87,
2012,2018-2019,San Jose State University,Mountain West Conference,Football,CA,78,71
2012,2018-2019,University of South Alabama,Sun Belt Conference,Football,AL,71,60
2012,2018-2019,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,72,68
2012,2018-2019,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,92,64
2012,2018-2019,South Dakota State University,Missouri Valley Football Conference,Football,SD,75,64
2012,2018-2019,University of South Dakota,Missouri Valley Football Conference,Football,SD,77,53
2012,2018-2019,University of South Florida,American Athletic Conference,Football,FL,77,65
2012,2018-2019,Southeast Missouri State University,Ohio Valley Conference,Football,MO,69,63
2012,2018-2019,Southeastern Louisiana University,Southland Conference,Football,LA,72,57
2012,2018-2019,University of Southern California,Pac-12 Conference,Football,CA,82,62
2012,2018-2019,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,80,61
2012,2018-2019,Southern Methodist University,American Athletic Conference,Football,TX,72,63
2012,2018-2019,The University of Southern Mississippi,Conference USA,Football,MS,72,58
2012,2018-2019,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,50,42
2012,2018-2019,Southern Utah University,Big Sky Conference,Football,UT,69,60
2012,2018-2019,Missouri State University,Missouri Valley Football Conference,Football,MO,65,56
2012,2018-2019,Texas State University,Sun Belt Conference,Football,TX,71,62
2012,2018-2019,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,74,60
2012,2018-2019,Stanford University,Pac-12 Conference,Football,CA,91,88
2012,2018-2019,Stephen F. Austin State University,Southland Conference,Football,TX,54,38
2012,2018-2019,Stony Brook University,Colonial Athletic Association,Football,NY,84,64
2012,2018-2019,Syracuse University,Atlantic Coast Conference,Football,NY,85,74
2012,2018-2019,Temple University,American Athletic Conference,Football,PA,88,72
2012,2018-2019,Tennessee State University,Ohio Valley Conference,Football,TN,49,36
2012,2018-2019,Tennessee Technological University,Ohio Valley Conference,Football,TN,85,74
2012,2018-2019,University of Tennessee at Chattanooga,Southern Conference,Football,TN,80,63
2012,2018-2019,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,74,55
2012,2018-2019,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,65,50
2012,2018-2019,"Texas A&M University, College Station",Southeastern Conference,Football,TX,73,61
2012,2018-2019,Texas Christian University,Big 12 Conference,Football,TX,67,52
2012,2018-2019,Texas Southern University,Southwestern Athletic Conf.,Football,TX,77,47
2012,2018-2019,Texas Tech University,Big 12 Conference,Football,TX,74,61
2012,2018-2019,University of Texas at Austin,Big 12 Conference,Football,TX,76,62
2012,2018-2019,University of Texas at El Paso,Conference USA,Football,TX,85,67
2012,2018-2019,University of Texas at San Antonio,Conference USA,Football,TX,81,59
2012,2018-2019,University of Toledo,Mid-American Conference,Football,OH,83,70
2012,2018-2019,Towson University,Colonial Athletic Association,Football,MD,78,56
2012,2018-2019,Troy University,Sun Belt Conference,Football,AL,74,55
2012,2018-2019,Tulane University,American Athletic Conference,Football,LA,89,73
2012,2018-2019,The University of Tulsa,American Athletic Conference,Football,OK,78,72
2012,2018-2019,U.S. Air Force Academy,Mountain West Conference,Football,CO,80,
2012,2018-2019,U.S. Military Academy,Independent,Football,NY,87,
2012,2018-2019,U.S. Naval Academy,American Athletic Conference,Football,MD,83,
2012,2018-2019,Utah State University,Mountain West Conference,Football,UT,92,69
2012,2018-2019,University of Utah,Pac-12 Conference,Football,UT,93,66
2012,2018-2019,Valparaiso University,Pioneer Football League,Football,IN,69,
2012,2018-2019,Vanderbilt University,Southeastern Conference,Football,TN,95,81
2012,2018-2019,Villanova University,Colonial Athletic Association,Football,PA,92,92
2012,2018-2019,Virginia Military Institute,Southern Conference,Football,VA,82,69
2012,2018-2019,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,87,72
2012,2018-2019,University of Virginia,Atlantic Coast Conference,Football,VA,86,73
2012,2018-2019,Wagner College,Northeast Conference,Football,NY,75,64
2012,2018-2019,Wake Forest University,Atlantic Coast Conference,Football,NC,86,73
2012,2018-2019,Washington State University,Pac-12 Conference,Football,WA,80,55
2012,2018-2019,University of Washington,Pac-12 Conference,Football,WA,90,66
2012,2018-2019,Weber State University,Big Sky Conference,Football,UT,70,52
2012,2018-2019,West Virginia University,Big 12 Conference,Football,WV,66,58
2012,2018-2019,Western Carolina University,Southern Conference,Football,NC,81,61
2012,2018-2019,Western Illinois University,Missouri Valley Football Conference,Football,IL,78,52
2012,2018-2019,Western Kentucky University,Conference USA,Football,KY,71,52
2012,2018-2019,Western Michigan University,Mid-American Conference,Football,MI,80,47
2012,2018-2019,William & Mary,Colonial Athletic Association,Football,VA,87,82
2012,2018-2019,University of Wisconsin-Madison,Big Ten Conference,Football,WI,90,77
2012,2018-2019,University of Wyoming,Mountain West Conference,Football,WY,85,51
2012,2018-2019,Yale University,The Ivy League,Football,CT,100,
2012,2018-2019,Youngstown State University,Missouri Valley Football Conference,Football,OH,65,52
2012,2018-2019,University of Central Arkansas,Southland Conference,Football,AR,69,49
2012,2018-2019,Elon University,Colonial Athletic Association,Football,NC,96,76
2012,2018-2019,Gardner-Webb University,Big South Conference,Football,NC,67,51
2012,2018-2019,Kennesaw State University,Big South Conference,Football,GA,100,
2012,2018-2019,Presbyterian College,Big South Conference,Football,SC,72,56
2012,2018-2019,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,66,51
2012,2018-2019,University of the Incarnate Word,Southland Conference,Football,TX,86,56
2012,2018-2019,Wofford College,Southern Conference,Football,SC,92,79
